Asset Name,Risk,Rate of Return,Current Market Price (CAD)
FIDELITY GLOBAL INNOVATORS CLASS SERIES F- NL,High Risk,1.302,30.45
FIDELITY GLOBAL INNOVATORS CLASS SERIES B- ISC,High Risk,1.26,29.34
FIDELITY GLOBAL INNOVATORS CLASS SERIES E1- ISC,High Risk,1.265,29.42
NINEPOINT TEC PRIVATE CREDIT FUND SERIES F1,High Risk,-0.009,10.3
RESOLUTE PERFORMANCE FUND,High Risk,-0.096,43.72
FIDELITY GLOBAL INNOVATORS CLASS SERIES P1- NL,High Risk,1.304,30.53
BURCON NUTRASCIENCE CP,High Risk,4.629,5.01
MACKENZIE ALL CHINA EQUITY FUND SERIES F - ISC,High Risk,1.188,23.39
NINEPOINT ENERGY FUND SERIES F - NL,High Risk,0.366,11.35
MASON GRAPHITE INC,High Risk,2.509,1.0
VANGUARD CONSERV ETF PTFL,Low Risk,0.097,28.31
PIMCO MONTHLY INCOME FUND (CANADA) SERIES F - NL,Low Risk,-0.002,14.31
DYNAMICEDGE DEFENSIVE PORTFOLIO SERIES F - NL,Low Risk,-0.006,9.55
TD MANAGED INCOME PORTFOLIO PREMIUM SERIES - NL,Low Risk,0.054,12.6
ADSB TIERED INVESTMENT SAVINGS ACCOUNT SERIES A,Low Risk,0.0,1.0
DFA GLOBAL 40EQ-60FI PORTFOLIO CLASS A - NL,Low Risk,0.08,14.1
DFA GLOBAL FIXED INCOME PORTFOLIO CLASS F - NL,Low Risk,0.004,10.46
MACKENZIE UNCONSTR BD ETF,Low Risk,0.014,20.98
VANGUARD CDN S/T BND ETF,Low Risk,0.015,24.31
DFA GLOBAL 50EQ-50FI PORTFOLIO - CLASS A - NL,Low Risk,0.094,12.38
DFA GLOBAL 60EQ-40FI PORTFOLIO CL A - NL,Low to Medium Risk,0.108,16.05
DFA GLOBAL 60EQ-40FI PORTFOLIO CL F - NL,Low to Medium Risk,0.109,16.2
EDGEPOINT GLOBAL GROWTH & INCOME PF F-NL,Low to Medium Risk,0.028,24.86
VPI CANADIAN BALANCED POOL - FE ,Low to Medium Risk,0.109,17.53
DFA GLOBAL EQUITY PORTFOLIO CLASS A - NL,Low to Medium Risk,0.148,19.88
DFA GLOBAL 70EQ-30FI PORTFOLIO - CLASS F - NL,Low to Medium Risk,0.119,13.31
VANGUARD BAL ETF PTFL,Low to Medium Risk,0.136,29.19
FIDELITY GLOBAL BALANCED PORTFOLIO SERIES F - NL,Low to Medium Risk,0.129,15.96
MANULIFE GLOBAL BALANCED FD ADV SR - E3 FE,Low to Medium Risk,0.124,18.48
DFA GLOBAL 80EQ-20FI PORTFOLIO CLASS A - NL,Low to Medium Risk,0.129,16.97
VERIT PILR GW-I/NL/N'FRAC,Medium Risk,0.148,11.48
CENTURION APARTMENT REIT CLASS F,Medium Risk,0.164,19.34
VERIT FDN ICM-I/NL/N'FRAC,Medium Risk,0.073,10.73
EDGEPOINT GLOBAL PORTFOLIO SERIES F-NL,Medium Risk,0.031,31.3
EDGEPOINT GLOBAL PORTFOLIO SERIES A - FE,Medium Risk,0.029,31.4
INNOVA TAA PL-I/NL/N'FRAC,Medium Risk,0.158,11.58
FIDELITY CANADIAN GROWTH COMPANY FUND SER B - FE,Medium Risk,0.309,90.7
MAWER BALANCED FUND SERIES A - NL,Medium Risk,0.129,34.56
GILPIN FUND    /NL/N'FRAC,Medium Risk,0.308,19.64
MACKENZIE US MID CAP GROWTH CLASS SERIES F - NL,Medium Risk,0.096,59.1
FIDELITY SPECIAL SITUATIONS FUND SERIES B - ISC,Medium to High Risk,0.345,44.0
FIDELITY SPECIAL SITUATIONS FUND SERIES E1 - FE,Medium to High Risk,0.344,21.06
FMIC  F CLASS,Medium to High Risk,0.0,30.0
CACTUS FUND-A  /NL/N'FRAC,Medium to High Risk,0.096,12.08
TRZ C/Y TR CD-F/NL/N'FRAC,Medium to High Risk,0.0,10.0
NINEPOINT ALTERNATIVE INCOME FUND SERIES F,Medium to High Risk,0.014,10.46
TREZ CAPITAL YIELD TRUST CLASS F,Medium to High Risk,0.0,10.0
DYNAMIC POWER GLOBAL GROWTH CLASS SERIES F - NL,Medium to High Risk,0.866,43.5
RISE PROPERTIES TRUST CLASS F,Medium to High Risk,0.005,20.55
BRIDGING INC RSP CL F BFI707,Medium to High Risk,-0.027,105.25
